                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    107,                  2.347,                 1.8019,                  2.202,                0.00847,                0.46667,                0.24922,                0.07596,                 3.4634,                 3.0526,                 2.8474,              0.0009506,              0.0009506,              0.0009506
                    108,                 2.3003,                 1.7885,                 2.1905,                0.02856,                    0.4,                0.24214,                0.04866,                 3.5222,                 2.9742,                 2.7489,              0.0009407,              0.0009407,              0.0009407
                    109,                 2.2586,                 1.7055,                 2.0525,                0.58846,                0.10205,                0.26321,                0.04483,                  3.564,                 2.9283,                 2.7789,              0.0009308,              0.0009308,              0.0009308
                    110,                 2.2911,                 1.6996,                 2.0798,                0.00794,                0.53333,                0.23021,                0.04508,                 3.6192,                 2.8709,                   2.82,              0.0009209,              0.0009209,              0.0009209
                    111,                 2.2865,                 1.6967,                  2.106,                 0.5216,                0.07531,                0.31666,                0.03775,                 3.6904,                 2.7835,                 2.8554,               0.000911,               0.000911,               0.000911
                    112,                 2.2892,                 1.7598,                 2.1715,                0.46481,                0.06667,                0.30442,                0.05483,                 3.6068,                 2.7168,                 2.7521,              0.0009011,              0.0009011,              0.0009011
                    113,                 2.3371,                 1.7819,                 2.2013,                0.44151,                0.06667,                0.28149,                0.05262,                 3.5565,                 2.6929,                 2.6695,              0.0008912,              0.0008912,              0.0008912
                    114,                 2.2177,                 1.8377,                 2.1639,                0.31001,                0.06667,                0.29441,                0.03821,                 3.6413,                 2.7402,                 2.6574,              0.0008813,              0.0008813,              0.0008813
                    115,                 2.3062,                 1.7313,                 2.1246,                0.23747,                0.06667,                 0.1407,                0.01968,                  3.661,                 2.7991,                 2.6948,              0.0008714,              0.0008714,              0.0008714
                    116,                 2.3576,                 1.7241,                 2.1127,                0.00703,                0.46667,                0.05102,                0.01433,                 3.5897,                 2.7276,                 2.7904,              0.0008615,              0.0008615,              0.0008615
                    117,                 2.3495,                 1.7709,                 2.1162,                0.08467,                    0.2,                0.04584,                0.01492,                 3.5899,                 2.5889,                 2.7804,              0.0008516,              0.0008516,              0.0008516
                    118,                 2.2242,                 1.8353,                  2.093,                0.11164,                0.06667,                 0.0666,                0.01726,                 3.5793,                 2.4638,                 2.7399,              0.0008417,              0.0008417,              0.0008417
                    119,                 2.3716,                 1.8116,                 2.1625,                0.26449,                0.13333,                0.18959,                 0.0304,                  3.611,                 2.3801,                 2.6908,              0.0008318,              0.0008318,              0.0008318
                    120,                 2.4003,                 1.9192,                 2.2936,                0.11834,                0.13333,                 0.0544,                0.01618,                 3.8307,                 2.3609,                 2.9227,              0.0008219,              0.0008219,              0.0008219
