                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                 3.0255,                 2.3794,                 2.9191,                 0.0006,                0.06667,                 0.0004,                  8e-05,                  4.505,                 4.5431,                 4.2191,             0.00087461,             0.00087461,             0.00087461
                     55,                 2.9177,                 2.3769,                 2.8349,                 0.0006,                0.06667,                0.00041,                  8e-05,                 4.5103,                 4.5543,                 4.2238,             0.00088754,             0.00088754,             0.00088754
                     56,                 2.9325,                 2.3547,                 2.8391,                 0.0006,                0.06667,                 0.0004,                  8e-05,                 4.5094,                 4.5755,                 4.2303,             0.00090035,             0.00090035,             0.00090035
                     57,                 2.9027,                 2.3272,                 2.7194,                0.00061,                0.06667,                0.00043,                  9e-05,                 4.5106,                 4.6073,                 4.2375,             0.00091302,             0.00091302,             0.00091302
                     58,                 2.7155,                   2.31,                 2.7565,                0.00061,                0.06667,                0.00042,                  8e-05,                 4.5122,                 4.6173,                 4.2438,             0.00092557,             0.00092557,             0.00092557
                     59,                 2.8713,                 2.3667,                 2.8609,                0.00172,                0.06667,                0.00095,                0.00019,                 4.5052,                 4.6287,                 4.2476,             0.00093798,             0.00093798,             0.00093798
                     60,                 2.9236,                 2.3323,                 2.6942,                0.00135,                0.06667,                0.00078,                0.00016,                 4.5058,                 4.5922,                 4.2484,             0.00095025,             0.00095025,             0.00095025
                     61,                 2.7516,                 2.2845,                 2.7335,                0.00061,                0.06667,                0.00043,                  9e-05,                 4.5045,                 4.5773,                 4.2458,              0.0009624,              0.0009624,              0.0009624
                     62,                 2.7483,                 2.3728,                 2.7588,                0.00164,                0.06667,                0.00091,                0.00018,                 4.5061,                 4.5494,                 4.2471,             0.00097441,             0.00097441,             0.00097441
                     63,                 2.6921,                 2.2184,                  2.622,                0.00169,                0.06667,                0.00093,                0.00019,                 4.5058,                 4.5646,                 4.2463,              0.0009863,              0.0009863,              0.0009863
                     64,                 2.7604,                 2.3957,                 2.6812,                0.00161,                0.06667,                0.00089,                0.00018,                 4.5015,                  4.563,                 4.2439,             0.00099805,             0.00099805,             0.00099805
                     65,                 2.7266,                 2.3118,                 2.7158,                0.00158,                0.06667,                0.00087,                0.00017,                 4.4968,                 4.6617,                 4.2415,              0.0010097,              0.0010097,              0.0010097
                     66,                 2.6894,                 2.2377,                 2.6425,                 0.0015,                0.06667,                0.00083,                0.00017,                 4.4981,                 4.7076,                 4.2371,              0.0010211,              0.0010211,              0.0010211
                     67,                 2.5894,                 2.1486,                 2.6006,                0.00155,                0.06667,                0.00084,                0.00017,                 4.4946,                 4.6794,                 4.2374,              0.0010325,              0.0010325,              0.0010325
                     68,                  2.651,                 2.1469,                 2.6223,                0.00151,                0.06667,                0.00084,                0.00017,                 4.4988,                 4.6763,                 4.2269,              0.0010437,              0.0010437,              0.0010437
                     69,                 2.7308,                 2.1081,                 2.6618,                0.00149,                0.06667,                0.00084,                  8e-05,                 4.5075,                  4.655,                 4.2251,              0.0010548,              0.0010548,              0.0010548
                     70,                 2.7085,                 2.1435,                 2.6166,                 0.0015,                0.06667,                0.00085,                  8e-05,                   4.51,                 4.6425,                 4.2182,              0.0010658,              0.0010658,              0.0010658
                     71,                 2.7203,                 2.0972,                 2.5362,                0.00146,                0.06667,                0.00082,                  8e-05,                 4.5056,                 4.6513,                 4.2191,              0.0010766,              0.0010766,              0.0010766
                     72,                 2.4901,                 2.0677,                 2.4683,                0.00147,                0.06667,                0.00082,                0.00016,                 4.4905,                  4.668,                 4.2233,              0.0010873,              0.0010873,              0.0010873
                     73,                 2.6881,                 2.1225,                 2.5746,                0.00146,                0.06667,                0.00082,                  8e-05,                 4.4796,                 4.6881,                 4.2272,              0.0010979,              0.0010979,              0.0010979
                     74,                 2.6777,                 2.1498,                 2.5537,                0.00147,                0.06667,                0.00082,                0.00016,                 4.4677,                 4.7087,                 4.2243,              0.0011083,              0.0011083,              0.0011083
                     75,                 2.7034,                 2.0935,                 2.4206,                 0.0015,                0.06667,                0.00084,                0.00017,                 4.4612,                 4.7413,                 4.2189,              0.0011186,              0.0011186,              0.0011186
                     76,                  2.691,                 2.1488,                 2.5328,                 0.0015,                0.06667,                0.00085,                0.00017,                 4.4477,                 4.8212,                 4.2164,              0.0011287,              0.0011287,              0.0011287
                     77,                 2.6967,                 2.2192,                 2.5835,                0.00152,                0.06667,                0.00084,                0.00017,                 4.4571,                 4.8664,                 4.2199,              0.0011388,              0.0011388,              0.0011388
                     78,                 2.5356,                 2.1073,                 2.4246,                0.00152,                0.06667,                0.00086,                0.00017,                 4.4559,                 4.9238,                 4.2318,              0.0011487,              0.0011487,              0.0011487
                     79,                 2.7146,                 2.1342,                 2.5842,                0.00154,                0.06667,                0.00087,                0.00017,                 4.4709,                  4.984,                 4.2336,              0.0011585,              0.0011585,              0.0011585
                     80,                 2.5844,                 2.0763,                 2.4855,                0.00157,                0.06667,                0.00089,                0.00018,                 4.4852,                  4.979,                  4.239,              0.0011681,              0.0011681,              0.0011681
                     81,                 2.6889,                 2.0318,                 2.4887,                0.00154,                0.06667,                0.00089,                0.00018,                 4.5019,                 4.9966,                 4.2443,              0.0011776,              0.0011776,              0.0011776
                     82,                 2.5688,                 2.1686,                 2.4855,                0.00156,                0.06667,                0.00088,                0.00018,                 4.5257,                 4.9367,                 4.2441,               0.001187,               0.001187,               0.001187
                     83,                 2.6012,                  2.174,                 2.4589,                0.00159,                0.06667,                0.00093,                0.00019,                 4.5091,                 4.8969,                 4.2428,              0.0011962,              0.0011962,              0.0011962
                     84,                  2.584,                 2.1407,                 2.4095,                0.00163,                0.06667,                0.00092,                0.00018,                 4.4793,                 4.8868,                 4.2437,              0.0012053,              0.0012053,              0.0012053
